batchNum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
1,0,0,vertical,vertical,null,null,null,2724.7,null,null,null,null,null,above,IBstimulus_absent,null,null,12205.275
1,0,1,vertical,vertical,null,null,null,3935.395,null,null,null,null,null,below,IBstimulus_absent,null,null,9653
1,0,2,vertical,vertical,null,null,null,1707.345,null,null,null,null,null,above,IBstimulus_absent,null,null,4782.385
1,0,3,horizontal,horizontal,no,blue,reportColor,1536.37,5095.355,9896.55,8806.425,3232.42,4871.79,below,IBstimulus_present,red,left,36668.55
1,1,0,horizontal,horizontal,null,null,null,11850.97,null,null,null,null,null,above,IBstimulus_absent,null,null,24621.58
1,1,1,horizontal,horizontal,null,null,null,6574.71,null,null,null,null,null,above,IBstimulus_absent,null,null,14214.71
1,1,2,horizontal,horizontal,null,null,null,4066.49,null,null,null,null,null,above,IBstimulus_absent,null,null,9216.3
1,1,3,horizontal,horizontal,yes,red,reportColor,4177.21,9870.63,3600.195,9293.435,6993.315,10836.595,below,IBstimulus_present,red,left,51990.34
1,2,0,horizontal,horizontal,null,null,null,2528.96,null,null,null,null,null,below,IBstimulus_absent,null,null,8518.465
1,2,1,vertical,vertical,null,null,null,2277.32,null,null,null,null,null,below,IBstimulus_absent,null,null,8194.605
1,2,2,vertical,vertical,null,null,null,1769.03,null,null,null,null,null,below,IBstimulus_absent,null,null,6073.325
1,2,3,vertical,vertical,yes,blue,reportColor,1826.085,5372.95,7231.34,4434.35,3893.49,6219.325,above,IBstimulus_absent,null,null,36015.245
1,3,0,vertical,vertical,null,null,null,5552.97,null,null,null,null,null,below,IBstimulus_absent,null,null,17806.325
1,3,1,vertical,vertical,null,null,null,4025.48,null,null,null,null,null,below,IBstimulus_absent,null,null,10647.165
1,3,2,vertical,vertical,null,null,null,2838.705,null,null,null,null,null,above,IBstimulus_absent,null,null,8506.24
1,3,3,horizontal,horizontal,yes,blue,reportColor,2513.48,18023.355,21903.195,18301.58,6641.36,16167.23,below,IBstimulus_present,red,right,88331.44
1,4,0,vertical,vertical,null,null,null,5438.92,null,null,null,null,null,below,IBstimulus_absent,null,null,11621.265
1,4,1,vertical,vertical,null,null,null,2889.145,null,null,null,null,null,above,IBstimulus_absent,null,null,7137.1
1,4,2,vertical,vertical,null,null,null,2403.96,null,null,null,null,null,below,IBstimulus_absent,null,null,5704.28
