batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
3,0,0,vertical,vertical,null,null,null,3648.385,null,null,null,null,null,above,IBstimulus_absent,null,null,7951.385
3,0,1,vertical,vertical,null,null,null,1828.405,null,null,null,null,null,below,IBstimulus_absent,null,null,6251.935
3,0,2,vertical,vertical,null,null,null,1631.45,null,null,null,null,null,below,IBstimulus_absent,null,null,5007.09
3,0,3,horizontal,horizontal,yes,blue,reportColor,1994.45,3483.88,3046.89,2960.445,2155.92,3337.315,above,IBstimulus_present,blue,left,23908.955
3,1,0,horizontal,horizontal,null,null,null,3713.14,null,null,null,null,null,above,IBstimulus_absent,null,null,7627.025
3,1,1,vertical,vertical,null,null,null,2405.325,null,null,null,null,null,below,IBstimulus_absent,null,null,5972.015
3,1,2,vertical,vertical,null,null,null,3148.63,null,null,null,null,null,above,IBstimulus_absent,null,null,6290.6
3,1,3,vertical,vertical,yes,blue,reportColor,2223.1,2610.125,2184.46,4378.155,3196.52,3828.05,above,IBstimulus_present,blue,left,22094.715
3,2,0,vertical,vertical,null,null,null,5704.35,null,null,null,null,null,above,IBstimulus_absent,null,null,12267.27
3,2,1,vertical,vertical,null,null,null,4948.265,null,null,null,null,null,above,IBstimulus_absent,null,null,15295.005
3,2,2,vertical,vertical,null,null,null,3673.26,null,null,null,null,null,above,IBstimulus_absent,null,null,7561.09
3,2,3,horizontal,horizontal,no,blue,reportColor,2579.395,5537.235,11687.245,15093.81,4973.895,11490.235,above,IBstimulus_present,red,left,54813.88
3,3,0,horizontal,vertical,null,null,null,6075.35,null,null,null,null,null,above,IBstimulus_absent,null,null,17701.18
3,3,1,vertical,vertical,null,null,null,2753.195,null,null,null,null,null,below,IBstimulus_absent,null,null,9040.79
3,3,2,horizontal,vertical,null,null,null,3229.4,null,null,null,null,null,above,IBstimulus_absent,null,null,6658.105
3,3,3,horizontal,horizontal,yes,blue,reportColor,2474.055,4614.965,2982.285,2229.825,3646.28,5293.695,above,IBstimulus_present,blue,right,26051.17
3,4,0,horizontal,horizontal,null,null,null,7493.57,null,null,null,null,null,below,IBstimulus_absent,null,null,18199.25
3,4,1,vertical,vertical,null,null,null,3233.89,null,null,null,null,null,below,IBstimulus_absent,null,null,9298.46
3,4,2,horizontal,horizontal,null,null,null,3373.635,null,null,null,null,null,above,IBstimulus_absent,null,null,7903.05
3,4,3,horizontal,horizontal,no,red,reportColor,3497.2,9383.15,11415.88,12591.7,4007.935,8063.48,below,IBstimulus_present,blue,left,54172.435
3,5,0,vertical,vertical,null,null,null,3227,null,null,null,null,null,above,IBstimulus_absent,null,null,28142
3,5,1,horizontal,horizontal,null,null,null,2599,null,null,null,null,null,below,IBstimulus_absent,null,null,14165
3,5,2,vertical,vertical,null,null,null,2284,null,null,null,null,null,below,IBstimulus_absent,null,null,5934
3,5,3,vertical,vertical,no,red,reportColor,2062,7136,18030,10136,4895,7207,above,IBstimulus_present,blue,right,53862
3,6,0,vertical,vertical,null,null,null,2103.165,null,null,null,null,null,above,IBstimulus_absent,null,null,7250.495
3,6,1,horizontal,horizontal,null,null,null,1422.92,null,null,null,null,null,above,IBstimulus_absent,null,null,8684.875
3,6,2,horizontal,horizontal,null,null,null,1144.3,null,null,null,null,null,above,IBstimulus_absent,null,null,4037.205
3,6,3,horizontal,horizontal,no,blue,reportColor,1260.3,7030.75,11346.85,4945.805,3349.91,4190.805,below,IBstimulus_absent,null,null,35437.655
3,7,0,vertical,vertical,null,null,null,10141,null,null,null,null,null,above,IBstimulus_absent,null,null,22840
3,7,1,vertical,vertical,null,null,null,3040,null,null,null,null,null,above,IBstimulus_absent,null,null,12505
3,7,2,vertical,vertical,null,null,null,2789,null,null,null,null,null,above,IBstimulus_absent,null,null,9732
3,7,3,horizontal,horizontal,yes,red,reportColor,3020,8081,14353,6210,6183,6110,above,IBstimulus_present,blue,left,48923
3,8,0,horizontal,horizontal,null,null,null,6249.705,null,null,null,null,null,below,IBstimulus_absent,null,null,11864.45
3,8,1,vertical,vertical,null,null,null,3176.315,null,null,null,null,null,above,IBstimulus_absent,null,null,8307.05
3,8,2,vertical,vertical,null,null,null,2292.695,null,null,null,null,null,above,IBstimulus_absent,null,null,6931.5
3,8,3,vertical,vertical,yes,blue,reportColor,2142.715,4638.94,15393.455,4229.815,5543.855,5358.64,above,IBstimulus_present,blue,left,42285.955
3,9,0,vertical,horizontal,null,null,null,4069.47,null,null,null,null,null,above,IBstimulus_absent,null,null,12207.2
3,9,1,horizontal,horizontal,null,null,null,2741.715,null,null,null,null,null,below,IBstimulus_absent,null,null,6580.105
3,9,2,horizontal,horizontal,null,null,null,2001.12,null,null,null,null,null,below,IBstimulus_absent,null,null,5624.09
3,9,3,vertical,vertical,yes,red,reportColor,2844.695,4445.26,4710.48,6724.6,4582.54,6714.335,below,IBstimulus_present,red,left,33589.75
3,10,0,horizontal,vertical,null,null,null,3748.59,null,null,null,null,null,above,IBstimulus_absent,null,null,8558.345
3,10,1,horizontal,horizontal,null,null,null,2462.01,null,null,null,null,null,above,IBstimulus_absent,null,null,5988.285
3,10,2,vertical,vertical,null,null,null,2211.79,null,null,null,null,null,above,IBstimulus_absent,null,null,5397.67
3,10,3,vertical,vertical,yes,blue,reportColor,1952.7,5553.335,2264.27,5705.705,4822.495,6078.64,above,IBstimulus_present,blue,right,29814.35
3,11,0,horizontal,vertical,null,null,null,6130.015,null,null,null,null,null,below,IBstimulus_absent,null,null,12305.9
3,11,1,vertical,vertical,null,null,null,9436.37,null,null,null,null,null,below,IBstimulus_absent,null,null,16083.94
3,11,2,vertical,horizontal,null,null,null,3829.06,null,null,null,null,null,above,IBstimulus_absent,null,null,8650.14
3,11,3,horizontal,horizontal,no,blue,reportColor,2848.96,4892.99,7368.195,6918,4454.6,7367.445,below,IBstimulus_present,red,right,37632.93
3,12,0,horizontal,horizontal,null,null,null,3143.585,null,null,null,null,null,below,IBstimulus_absent,null,null,7435.74
3,12,1,vertical,vertical,null,null,null,1757.725,null,null,null,null,null,above,IBstimulus_absent,null,null,4914.025
3,12,2,vertical,vertical,null,null,null,1327.625,null,null,null,null,null,below,IBstimulus_absent,null,null,7435.475
3,12,3,horizontal,horizontal,yes,red,reportColor,6315.59,2810.885,1206.45,7236.72,2914.69,2605.725,above,IBstimulus_present,red,right,25932.95
3,13,0,vertical,vertical,null,null,null,2564.175,null,null,null,null,null,below,IBstimulus_absent,null,null,7465.12
3,13,1,vertical,vertical,null,null,null,2326.435,null,null,null,null,null,above,IBstimulus_absent,null,null,6904.825
3,13,2,horizontal,horizontal,null,null,null,1777.645,null,null,null,null,null,below,IBstimulus_absent,null,null,5783.155
3,13,3,vertical,vertical,no,red,reportColor,2081.39,4567.725,6726.585,4152.19,3463.07,4935.685,below,IBstimulus_present,blue,right,29537.125
3,14,0,horizontal,horizontal,null,null,null,2638.09,null,null,null,null,null,below,IBstimulus_absent,null,null,9499.245
3,14,1,vertical,vertical,null,null,null,2507.67,null,null,null,null,null,above,IBstimulus_absent,null,null,16325.855
3,14,2,vertical,vertical,null,null,null,2320.64,null,null,null,null,null,below,IBstimulus_absent,null,null,6207.775
3,14,3,vertical,vertical,yes,blue,reportColor,2709.39,2704.255,8604.23,5205.27,4195.6,8959.92,below,IBstimulus_present,blue,left,36042.095
3,15,0,horizontal,horizontal,null,null,null,3063,null,null,null,null,null,above,IBstimulus_absent,null,null,10053
3,15,1,horizontal,horizontal,null,null,null,2138,null,null,null,null,null,below,IBstimulus_absent,null,null,5830
3,15,2,vertical,vertical,null,null,null,1870,null,null,null,null,null,below,IBstimulus_absent,null,null,5136
3,15,3,horizontal,horizontal,yes,blue,reportColor,1880,2688,3375,5104,2767,3016,below,IBstimulus_present,blue,right,21832
3,16,0,horizontal,horizontal,null,null,null,1343.485,null,null,null,null,null,above,IBstimulus_absent,null,null,5894.12
3,16,1,horizontal,horizontal,null,null,null,1638.85,null,null,null,null,null,above,IBstimulus_absent,null,null,8157.155
3,16,2,vertical,vertical,null,null,null,1269.53,null,null,null,null,null,below,IBstimulus_absent,null,null,4295.015
3,16,3,vertical,vertical,yes,red,reportColor,1392.075,2999.7,2351.69,3111.78,3343.795,3535.72,above,IBstimulus_present,red,left,19637.71
3,17,0,vertical,vertical,null,null,null,2354,null,null,null,null,null,above,IBstimulus_absent,null,null,11954
3,17,1,horizontal,horizontal,null,null,null,1884,null,null,null,null,null,below,IBstimulus_absent,null,null,6560
3,17,2,horizontal,horizontal,null,null,null,2628,null,null,null,null,null,below,IBstimulus_absent,null,null,6527
3,17,3,horizontal,horizontal,yes,blue,reportColor,1899,12378,8456,4967,4657,5302,above,IBstimulus_absent,null,null,48403
3,18,0,horizontal,horizontal,null,null,null,2178.045,null,null,null,null,null,below,IBstimulus_absent,null,null,7378.66
3,18,1,vertical,vertical,null,null,null,2955.38,null,null,null,null,null,below,IBstimulus_absent,null,null,20674.725
3,18,2,vertical,vertical,null,null,null,2252.62,null,null,null,null,null,below,IBstimulus_absent,null,null,6229.13
3,18,3,horizontal,horizontal,no,red,reportColor,1880.525,4223.505,6625.525,4145.515,4940.045,3833.09,below,IBstimulus_present,blue,left,29695.85
3,19,0,horizontal,horizontal,null,null,null,4728.745,null,null,null,null,null,below,IBstimulus_absent,null,null,11952.52
3,19,1,vertical,vertical,null,null,null,2869.345,null,null,null,null,null,above,IBstimulus_absent,null,null,7555.8
3,19,2,vertical,vertical,null,null,null,2351.475,null,null,null,null,null,above,IBstimulus_absent,null,null,6999.23
3,19,3,horizontal,horizontal,no,blue,reportColor,2603.325,6574.615,9644.295,5636.535,5649.59,6238.28,below,IBstimulus_present,blue,left,39977.635
3,20,0,vertical,vertical,null,null,null,37559.65,null,null,null,null,null,below,IBstimulus_absent,null,null,57334.685
3,20,1,vertical,vertical,null,null,null,4480,null,null,null,null,null,below,IBstimulus_absent,null,null,11546.915
3,20,2,vertical,vertical,null,null,null,3095.685,null,null,null,null,null,below,IBstimulus_absent,null,null,7697.27
3,20,3,horizontal,horizontal,yes,red,reportColor,2718.27,4917.795,9366.86,6606.53,4967.53,6348.39,below,IBstimulus_present,red,left,38350.05
3,21,0,horizontal,horizontal,null,null,null,3193.05,null,null,null,null,null,below,IBstimulus_absent,null,null,9455.44
3,21,1,horizontal,horizontal,null,null,null,3099.465,null,null,null,null,null,below,IBstimulus_absent,null,null,10140.05
3,21,2,horizontal,horizontal,null,null,null,3836.9,null,null,null,null,null,below,IBstimulus_absent,null,null,7077.395
3,21,3,vertical,vertical,yes,blue,reportColor,3120.83,7677.65,14332.93,5620.99,4297.99,7823.51,above,IBstimulus_present,blue,right,46417.41
3,22,0,horizontal,horizontal,null,null,null,12626.27,null,null,null,null,null,above,IBstimulus_absent,null,null,23591.8
3,22,1,horizontal,horizontal,null,null,null,4806.72,null,null,null,null,null,below,IBstimulus_absent,null,null,13194.195
3,22,2,vertical,vertical,null,null,null,3853.69,null,null,null,null,null,below,IBstimulus_absent,null,null,9060.455
3,22,3,horizontal,horizontal,no,blue,reportColor,2923.03,6176.93,9892.735,11994.22,6719.26,8436.37,below,IBstimulus_absent,null,null,50243.51
3,23,0,horizontal,horizontal,null,null,null,3110.73,null,null,null,null,null,above,IBstimulus_absent,null,null,12031.77
3,23,1,vertical,vertical,null,null,null,2140.865,null,null,null,null,null,above,IBstimulus_absent,null,null,7180.195
3,23,2,horizontal,horizontal,null,null,null,1974.38,null,null,null,null,null,above,IBstimulus_absent,null,null,7988.58
