batchNum ,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
7,0,0,horizontal,vertical,null,null,null,2336,null,null,null,null,null,below,IBstimulus_absent,null,null,6420
7,0,1,horizontal,vertical,null,null,null,1892,null,null,null,null,null,below,IBstimulus_absent,null,null,5364
7,0,2,vertical,horizontal,null,null,null,14880,null,null,null,null,null,below,IBstimulus_absent,null,null,18370
7,0,3,vertical,vertical,yes,blue,reportColor,8638,29614,1186,4178,3726,4254,above,IBstimulus_present,blue,left,55070
7,1,0,horizontal,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
7,1,1,vertical,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
7,1,2,vertical,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
7,1,3,vertical,null,null,null,reportColor,null,null,null,null,null,null,above,IBstimulus_present,red,left,
7,2,0,horizontal,horizontal,null,null,null,2924.905,null,null,null,null,null,below,IBstimulus_absent,null,null,9167.13
7,2,1,horizontal,horizontal,null,null,null,1869.92,null,null,null,null,null,below,IBstimulus_absent,null,null,5559.285
7,2,2,horizontal,horizontal,null,null,null,2459.545,null,null,null,null,null,below,IBstimulus_absent,null,null,5738.84
7,2,3,horizontal,horizontal,yes,blue,reportColor,1701.11,3373.93,5801.165,4832.12,3469.75,4311.65,below,IBstimulus_present,blue,left,26871.855
7,3,0,vertical,vertical,null,null,null,3961.2,null,null,null,null,null,below,IBstimulus_absent,null,null,9868.895
7,3,1,vertical,vertical,null,null,null,3551.51,null,null,null,null,null,above,IBstimulus_absent,null,null,12606.26
7,3,2,vertical,vertical,null,null,null,2044.275,null,null,null,null,null,below,IBstimulus_absent,null,null,6508.12
7,3,3,vertical,vertical,yes,red,reportColor,3508.83,3565.975,7677.065,8286.58,5706.63,8576.91,above,IBstimulus_present,red,left,41421.15
7,4,0,vertical,vertical,null,null,null,10132.125,null,null,null,null,null,below,IBstimulus_absent,null,null,17465.575
7,4,1,horizontal,horizontal,null,null,null,4450.56,null,null,null,null,null,below,IBstimulus_absent,null,null,17869.665
7,4,2,vertical,vertical,null,null,null,3567.825,null,null,null,null,null,below,IBstimulus_absent,null,null,12399.165
